Parámetro,X (Valor),X (Error),Y (Valor),Y (Error)
a,0.058794,0.013352,-0.333569,0.006875
b,-23.152809,0.29038,10.674619,0.149515
c,1183.028656,1.316071,401.164032,0.677639
