Parámetro,X (Valor),X (Error),Y (Valor),Y (Error)
a,0.028753,0.006437,1.172423,0.003281
b,-30.374058,0.186534,-38.589902,0.095075
c,1216.209121,1.128161,445.704561,0.575016
